code,language,region,quoteType,triggerable,currency,sharesOutstanding,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,forwardPE,priceToBook,sourceInterval,exchangeDataDelayedBy,tradeable,priceHint,exchange,shortName,longName,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,gmtOffSetMilliseconds,market,esgPopulated,regularMarketChange,regularMarketChangePercent,regularMarketTime,regularMarketPrice,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,firstTradeDateMilliseconds,regularMarketVolume,regularMarketPreviousClose,bid,ask,bidSize,askSize,fullExchangeName,financialCurrency,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,earningsTimestamp,earningsTimestampStart,earningsTimestampEnd,trailingAnnualDividendRate,trailingPE,trailingAnnualDividendYield,marketState,epsTrailingTwelveMonths,epsForward,price,dividendDate
0022.HK,en-US,US,EQUITY,False,HKD,1966390016.0,0.286,0.115257144,0.014742851,0.12791269,0.15083803,-0.020838037,-0.13814843,255630688.0,,0.4545454,15,0,False,3,HKG,MEXAN,Mexan Limited,finmb_8474551,Asia/Hong_Kong,HKT,28800000,hk_market,False,0.0059999973,4.8387074,1589788758,0.13,0.13,0.12 - 0.13,0.12,1065576600000.0,120000.0,0.124,0.125,0.148,0.0,0.0,HKSE,HKD,0.12,69996.0,320000.0,0.023999996,0.22641507,0.106 - 0.22,-0.09,-0.40909094,0.106,0.22,1561464000.0,1561464000.0,1561464000.0,,4.7272725,,PREPRE,0.0275,,0.13,
0023.HK,en-US,US,EQUITY,False,HKD,2914779904.0,37.589,16.352,-0.59199905,-0.036203466,17.307043,-1.5470428,-0.08938805,45936930816.0,7.131222,0.4192716,15,0,False,3,HKG,BANK OF E ASIA,"The Bank of East Asia, Limited",finmb_409764,Asia/Hong_Kong,HKT,28800000,hk_market,False,-0.059999466,-0.37926337,1589789320,15.76,16.22,15.64 - 16.22,15.64,946949400000.0,617912.0,15.82,15.76,15.78,0.0,0.0,HKSE,HKD,16.22,2172938.0,886951.0,0.94000053,0.063427836,14.82 - 25.0,-9.24,-0.3696,14.82,25.0,1582127940.0,1582127940.0,1582127940.0,0.46,17.707865,0.029077118,PREPRE,0.89,2.21,15.76,
0024.HK,en-US,US,EQUITY,False,HKD,5111620096.0,0.127,0.071,0.0,0.0,0.071,0.0,0.0,362925024.0,,0.5590551,15,0,False,3,HKG,BURWILL,Burwill Holdings Limited,finmb_4480995,Asia/Hong_Kong,HKT,28800000,hk_market,False,0.0,0.0,1565942346,0.071,0.077,0.07 - 0.077,0.07,946949400000.0,7378000.0,0.071,0.07,0.071,0.0,0.0,HKSE,HKD,0.076,0.0,0.0,0.001000002,0.014285743,0.07 - 0.141,-0.07,-0.49645388,0.07,0.141,1553871540.0,1553871540.0,1553871540.0,,,,PREPRE,-0.0257,,0.071,
0025.HK,en-US,US,EQUITY,False,HKD,301928000.0,30.193,9.664,0.1960001,0.020281468,10.72662,-0.86662006,-0.08079153,2977009920.0,,0.32656574,15,0,False,3,HKG,CHEVALIER INT'L,Chevalier International Holdings Limited,finmb_876885,Asia/Hong_Kong,HKT,28800000,hk_market,False,-0.119999886,-1.2024037,1589788778,9.86,9.86,9.85 - 9.86,9.85,1056072600000.0,8000.0,9.98,9.82,10.7,0.0,0.0,HKSE,HKD,9.86,10408.0,1333.0,0.85999966,0.095555514,9.0 - 12.2,-2.3400002,-0.19180329,9.0,12.2,,,,0.55,4.5437784,0.055110224,PREPRE,2.17,,9.86,
0026.HK,en-US,US,EQUITY,False,HKD,45308100.0,207.788,107.33857,-11.488571,-0.10703116,113.485565,-17.635567,-0.1553992,4342781440.0,,0.46128747,15,0,False,3,HKG,CHINA MOTOR BUS,"China Motor Bus Company, Limited",finmb_2482072,Asia/Hong_Kong,HKT,28800000,hk_market,False,-1.550003,-1.5913789,1589789320,95.85,97.0,95.8 - 97.0,95.8,946949400000.0,21000.0,97.4,95.8,96.1,0.0,0.0,HKSE,HKD,97.0,20333.0,8280.0,2.0499954,0.021854961,93.8 - 134.6,-38.750008,-0.28789008,93.8,134.6,1551196740.0,1551196740.0,1551196740.0,0.5,3.1211333,0.00513347,PREPRE,30.71,,95.85,
0027.HK,en-US,US,EQUITY,False,HKD,4335399936.0,16.982,48.392857,4.1571426,0.085904054,52.467957,0.082042694,0.0015636723,227827892224.0,15.144092,3.0944529,15,0,False,3,HKG,GALAXY ENT,Galaxy Entertainment Group Limited,finmb_877511,Asia/Hong_Kong,HKT,28800000,hk_market,False,0.5,0.9606148,1589789320,52.55,52.7,51.4 - 52.7,51.4,946949400000.0,6816469.0,52.05,52.5,52.55,0.0,0.0,HKSE,HKD,51.7,18899242.0,15372325.0,15.549999,0.42027026,37.0 - 63.4,-10.850002,-0.17113568,37.0,63.4,1589381940.0,1597157940.0,1597680000.0,,17.452673,,PREPRE,3.011,3.47,52.55,
0028.HK,en-US,US,EQUITY,False,HKD,1500649984.0,16.16,3.0794284,0.22057152,0.07162742,3.2935915,0.006408453,0.001945734,4952144896.0,,0.20420793,15,0,False,3,HKG,TIAN AN,Tian An China Investments Company Limited,finmb_4497139,Asia/Hong_Kong,HKT,28800000,hk_market,False,0.00999999,0.30395108,1589789320,3.3,3.34,3.25 - 3.34,3.25,1080091800000.0,379000.0,3.29,3.25,3.3,0.0,0.0,HKSE,HKD,3.25,972728.0,6173666.0,0.8599999,0.35245895,2.44 - 4.21,-0.9100001,-0.21615204,2.44,4.21,1552661940.0,1552661940.0,1552661940.0,0.2,3.7078652,0.060790274,PREPRE,0.89,,3.3,
0029.HK,en-US,US,EQUITY,False,HKD,237704000.0,8.694,11.094857,1.4051428,0.12664811,11.154084,1.3459158,0.12066574,2971300096.0,,1.4377731,15,0,False,3,HKG,DYNAMIC HOLD,Dynamic Holdings Limited,finmb_877298,Asia/Hong_Kong,HKT,28800000,hk_market,False,0.06000042,0.4823185,1589787433,12.5,12.58,12.58 - 12.58,12.58,946949400000.0,22000.0,12.44,12.4,12.5,0.0,0.0,HKSE,HKD,12.58,128068.0,95425.0,5.69,0.835536,6.81 - 14.98,-2.4799995,-0.16555405,6.81,14.98,1551369540.0,1551369540.0,1551369540.0,0.06,58.139534,0.004823151,PREPRE,0.215,,12.5,
0030.HK,en-US,US,EQUITY,False,HKD,6448150016.0,0.12,0.24765714,-0.011657134,-0.047069646,0.30679578,-0.070795774,-0.23075864,1521763456.0,,1.9666667,15,0,False,3,HKG,BAN LOONG HOLD,Ban Loong Holdings Limited,finmb_878339,Asia/Hong_Kong,HKT,28800000,hk_market,False,0.001000002,0.4255328,1589787087,0.236,0.236,0.231 - 0.236,0.231,946949400000.0,7178000.0,0.235,0.233,0.236,0.0,0.0,HKSE,HKD,0.235,2134593.0,2271000.0,0.026000008,0.12380957,0.21 - 0.39,-0.15399998,-0.39487177,0.21,0.39,1561388340.0,1561388340.0,1561388340.0,,,,PREPRE,-0.0158,,0.236,
0031.HK,en-US,US,EQUITY,False,HKD,3085019904.0,2.349,0.39285713,-0.007857144,-0.020000003,0.42859155,-0.04359156,-0.10170886,1187732608.0,,0.16389953,15,0,False,3,HKG,CHINA AEROSPACE,China Aerospace International Holdings Limited,finmb_875348,Asia/Hong_Kong,HKT,28800000,hk_market,False,0.0,0.0,1589787689,0.385,0.39,0.385 - 0.39,0.385,1127957400000.0,343800.0,0.385,0.385,0.39,0.0,0.0,HKSE,HKD,0.385,1581888.0,720851.0,0.054999977,0.1666666,0.33 - 0.52,-0.13499999,-0.25961536,0.33,0.52,1553439540.0,1553439540.0,1553439540.0,0.02,3.5095713,0.051948052,PREPRE,0.1097,,0.385,
