Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
1/13/2014,15.70486488,15.87519964,15.60266428,15.73893261,16154236,0,0,0
1/14/2014,15.60266604,15.70486665,15.53453186,15.67080021,10766508,0,0,0
1/15/2014,15.73893261,15.80706678,15.63673201,15.73893261,14982559,0,0,0
1/16/2014,15.7389337,15.84113431,15.7389337,15.80706787,4333756,0,0,0
1/17/2014,15.73893549,15.97740447,15.67080131,15.90927029,6460790,0,0,0
1/20/2014,15.90926738,15.90926738,15.70486488,15.73893261,20430145,0,0,0
1/21/2014,15.7389337,15.90926848,15.7389337,15.80706787,10013468,0,0,0
1/22/2014,15.77299895,15.87519955,15.73893252,15.84113312,6220873,0,0,0
1/23/2014,15.84113427,15.84113427,15.56859888,15.63673306,11899325,0,0,0
1/24/2014,15.53453097,15.53453097,15.39826393,15.39826393,34830189,0,0,0
1/27/2014,15.09166336,15.15979754,15.02352918,15.09166336,52450885,0,0,0
1/28/2014,15.1257311,15.1257311,15.02352918,15.09166336,39397799,0,0,0
1/29/2014,15.15979362,15.26199422,15.15979362,15.19386005,14913125,0,0,0
1/30/2014,15.02352575,15.12572765,14.92132516,15.12572765,25741739,0,0,0
2/4/2014,14.85319267,14.85319267,14.68285788,14.71692562,72963262,0,0,0
2/5/2014,14.7850599,14.81912634,14.54659094,14.61472511,35621359,0,0,0
2/6/2014,14.61472501,14.71692562,14.61472501,14.71692562,17186894,0,0,0
2/7/2014,14.78506041,14.88726102,14.71692623,14.85319328,18335652,0,0,0
2/10/2014,14.92132578,14.92132578,14.75099101,14.81912518,24772266,0,0,0
2/11/2014,14.81912793,15.1257311,14.81912793,15.09166336,18938353,0,0,0
2/12/2014,15.1257303,15.36419797,15.09166256,15.33013153,40779679,0,0,0
2/13/2014,15.3301278,15.3301278,15.15979305,15.22792721,17996947,0,0,0
2/14/2014,15.3301332,15.39826738,15.26199901,15.36419964,18382267,0,0,0
2/17/2014,15.43233109,15.5345317,15.43233109,15.43233109,10047523,0,0,0
2/18/2014,15.50046635,15.53453279,15.39826573,15.50046635,5532372,0,0,0
2/19/2014,15.50046801,15.60266864,15.46640157,15.53453445,9277767,0,0,0
2/20/2014,15.4663981,15.60266514,15.29606333,15.39826393,41634818,0,0,0
2/21/2014,15.53453279,15.56860052,15.43233217,15.50046635,11492203,0,0,0
2/24/2014,15.46640157,15.50046801,15.29606675,15.36419964,6751364,0,0,0
2/25/2014,15.43233382,15.50046801,15.26199901,15.36419964,18504936,0,0,0
2/26/2014,15.29606404,15.50046526,15.29606404,15.43233109,9293078,0,0,0
2/27/2014,15.50045954,15.73892841,15.46639312,15.70486069,26215340,0,0,0
2/28/2014,15.70486665,15.80706856,15.60266604,15.67080021,17107048,0,0,0
3/3/2014,15.6026672,15.63673494,15.43233241,15.46640015,12120845,0,0,0
3/4/2014,15.4323323,15.67080127,15.4323323,15.56860065,4085674,0,0,0
3/5/2014,15.67080282,15.67080282,15.46640157,15.53453445,7782789,0,0,0
3/6/2014,15.56859661,15.63673077,15.53452888,15.60266304,7263751,0,0,0
3/7/2014,15.63673077,15.70486363,15.53452888,15.60266304,4839242,0,0,0
3/10/2014,15.43233046,15.43233046,15.26199569,15.29606342,11678401,0,0,0
3/11/2014,15.29606342,15.36419629,15.26199569,15.29606342,6345200,0,0,0
3/12/2014,15.22792825,15.22792825,15.05759349,15.12572765,7814604,0,0,0
3/13/2014,15.05759584,15.19386289,14.95539522,15.0235281,24339742,0,0,0
3/14/2014,14.8872633,14.92132974,14.78506267,14.8872633,12564365,0,0,0
3/17/2014,14.85319161,14.85319161,14.75099101,14.81912518,8607126,0,0,0
3/18/2014,14.85319555,14.8872633,14.78506267,14.8872633,14601030,0,0,0
3/19/2014,14.92132974,14.92132974,14.81912911,14.8872633,3258683,0,0,0
3/20/2014,14.71692572,14.81912634,14.58065738,14.61472511,13725599,0,0,0
3/21/2014,14.6487904,14.81912518,14.61472397,14.81912518,22087876,0,0,0
3/24/2014,14.9553963,15.09166336,14.88726212,15.09166336,31631918,0,0,0
3/25/2014,15.05759584,15.09166228,14.95539522,15.0235281,47525019,0,0,0
3/26/2014,15.12572765,15.19386052,15.05759349,15.12572765,57960423,0,0,0
3/27/2014,15.09165691,15.15979106,14.98945633,15.05759048,14837751,0,0,0
3/28/2014,15.12572662,15.29606137,15.12572662,15.22792721,28474605,0,0,0
3/31/2014,15.29606592,15.33013236,15.193864,15.26199818,10395530,0,0,0
4/1/2014,15.33013155,15.50046635,15.33013155,15.50046635,15551059,0,0,0
4/2/2014,15.50046635,15.56860052,15.46639991,15.50046635,16381958,0,0,0
4/3/2014,15.53453445,15.70486927,15.53453445,15.53453445,57498167,0,0,0
4/4/2014,15.50046635,15.60266696,15.46639991,15.50046635,84924157,0,0,0
4/7/2014,15.43233037,15.53453097,15.39826393,15.39826393,16966615,0,0,0
4/8/2014,15.36419413,15.63673077,15.36419413,15.60266304,24988755,0,0,0
4/9/2014,15.67079916,15.84113393,15.67079916,15.77299976,15299970,0,0,0
4/10/2014,15.80706956,16.07960497,15.6708012,16.01147079,48523440,0,0,0
4/11/2014,16.01146788,16.01146788,15.80706668,15.84113312,21057656,0,0,0
4/14/2014,15.90927087,15.94333731,15.84113669,15.87520313,12836604,0,0,0
4/15/2014,15.87519838,15.87519838,15.60266304,15.60266304,20128260,0,0,0
4/16/2014,15.60266604,15.77300082,15.60266604,15.67080021,12181074,0,0,0
4/17/2014,15.67079426,15.73892841,15.60266012,15.70486069,2895291,0,0,0
4/22/2014,15.67079426,15.77299484,15.60266012,15.70486069,4965655,0,0,0
4/23/2014,15.67080282,15.70486927,15.50046801,15.53453445,9532841,0,0,0
4/24/2014,15.50046648,15.60266709,15.50046648,15.56860065,5126826,0,0,0
4/25/2014,15.50046463,15.56859881,15.29606342,15.29606342,12938858,0,0,0
4/28/2014,15.22792925,15.33012986,15.22792925,15.29606342,7443201,0,0,0
4/29/2014,15.33035486,15.53613091,15.22746683,15.53613091,11319373,0.15,0,0
4/30/2014,15.53613501,15.53613501,15.22747085,15.26176643,10428932,0,0,0
5/2/2014,15.29606691,15.3989563,15.22747572,15.3989563,10146910,0,0,0
5/5/2014,15.29605762,15.46753809,15.12457714,15.19316959,11041538,0,0,0
5/7/2014,15.22747267,15.22747267,14.98739965,15.05599213,8622935,0,0,0
5/8/2014,15.09028671,15.22747166,15.05599112,15.12458229,10665279,0,0,0
5/9/2014,15.15887642,15.193172,15.05598838,15.15887642,12465742,0,0,0
5/12/2014,15.22747002,15.57043105,15.09028509,15.46754169,19061287,0,0,0
5/13/2014,15.53613331,15.53613331,15.43324527,15.50183773,12245904,0,0,0
5/14/2014,15.53613299,15.70761349,15.50183741,15.67331791,10362558,0,0,0
5/15/2014,15.67332132,15.81050496,15.67332132,15.7419138,28294244,0,0,0
5/16/2014,15.63902148,15.77620641,15.6047259,15.70761395,15118215,0,0,0
5/19/2014,15.77620641,15.77620641,15.63902148,15.70761395,20707852,0,0,0
5/20/2014,15.77620362,15.91338852,15.77620362,15.81049919,16698185,0,0,0
5/21/2014,15.77621272,15.9133977,15.74191713,15.8791008,29497106,0,0,0
5/22/2014,15.91339347,16.05057711,15.91339347,15.94768906,27402674,0,0,0
5/23/2014,15.9476857,16.01627816,15.91339013,15.98198128,12970957,0,0,0
5/26/2014,15.98198128,16.08487062,15.9476857,15.98198128,20972217,0,0,0
5/27/2014,15.98198128,16.05057374,15.9476857,15.98198128,24522091,0,0,0
5/28/2014,15.98198618,16.18776362,15.98198618,16.11917114,37887809,0,0,0
5/29/2014,16.08487023,16.18775826,16.01627777,16.05057335,18458409,0,0,0
5/30/2014,16.05057866,16.18776362,16.01628308,16.11917114,24134748,0,0,0
6/3/2014,16.18776557,16.29065364,16.15346867,16.22206116,22653365,0,0,0
6/4/2014,16.18776407,16.25635655,16.11917159,16.15346718,17278454,0,0,0
6/5/2014,16.11917159,16.18776407,16.08487601,16.15346718,14174391,0,0,0
6/6/2014,16.15346138,16.22205384,15.98198089,16.05057335,23868510,0,0,0
6/9/2014,16.05057866,16.18776362,16.05057866,16.11917114,6842955,0,0,0
6/10/2014,16.18776091,16.35924143,16.11916844,16.25635338,34792659,0,0,0
