L1,L2,L3,MF1,MF5,DIR
-0.8298,-0.5032,-0.3677,-0.1089,-0.8009,U
0.2101,0.6257,0.9931,0.1899,0.1183,D
-0.3583,-0.3904,-0.6424,-0.2006,-0.7737,D
-0.9461,-0.9116,-0.2397,0.5871,0.2013,U
0.2693,-0.7522,-0.7215,-0.1149,-0.2211,D
0.1245,-0.969,-0.5738,-0.9292,-0.835,D
-0.2647,-0.623,-0.7239,-0.0031,-0.8238,D
-0.65,-0.2941,-0.4177,-0.4786,-0.2375,D
-0.654,-0.3395,-0.6876,-0.1886,-0.4891,D
0.6531,0.0036,0.895,0.352,0.5529,U
-0.457,-0.4816,-0.5652,-0.7321,-0.3795,U
0.4801,0.2632,0.9428,-0.8343,-0.7431,D
-0.2375,0.4084,0.3371,0.3131,0.9003,U
0.4,0.3912,0.3368,0.3335,0.9535,U
-0.2567,-0.5207,-0.9908,-0.9877,-0.0334,U
-0.7592,-0.5422,-0.0902,0.7438,0.9322,U
0.2049,0.547,0.4489,0.7304,0.1411,U
0.8846,0.8713,0.8059,-0.1697,-0.1347,D
-0.4442,-0.7172,-0.8539,-0.9704,-0.5928,D
0.5763,0.9952,0.3844,0.8669,0.8656,D
-0.425,-0.6321,-0.4658,-0.2771,-0.485,U
-0.6613,-0.6529,-0.565,-0.4582,-0.6042,D
-0.2668,-0.5505,0.4727,0.784,0.7781,U
-0.0506,-0.919,-0.4193,-0.6073,-0.4227,D
0.5133,0.1245,0.4795,0.0569,-0.2554,D
-0.3967,-0.2722,-0.523,0.5097,0.6786,U
-0.7424,-0.0547,-0.4801,0.7897,0.163,U
0.3693,0.1922,0.6374,0.191,0.5308,U
-0.6676,-0.557,-0.3072,-0.6343,-0.4371,D
0.1772,0.0275,0.9261,0.4794,-0.6197,D
0.8736,0.4749,-0.6854,-0.4053,-0.1566,D
0.5618,0.3159,0.1604,0.8647,0.0843,D
0.5141,0.3421,0.0861,-0.9135,-0.381,D
0.4338,0.3842,0.036,0.4966,0.7563,D
-0.4981,-0.3085,-0.7364,-0.8638,-0.7129,D
-0.4767,-0.4653,0.0683,0.3073,0.1873,U
0.5456,0.2201,0.4557,0.5117,0.4768,U
0.0215,0.8807,0.9257,0.5356,0.1063,U
-0.3541,-0.3162,-0.9346,-0.7802,-0.1532,U
-0.4681,-0.7679,-0.2048,-0.8962,-0.3021,D
-0.2619,-0.6278,-0.1297,-0.4788,-0.9625,U
-0.1911,0.6821,0.8843,0.6475,0.0689,U
0.0876,0.8043,-0.0325,-0.2978,-0.027,D
-0.1711,-0.4688,-0.6057,-0.4018,-0.9248,D
0.8046,-0.8879,-0.8113,-0.4577,-0.1737,D
-0.6947,-0.2157,-0.0006,-0.9991,-0.8734,U
-0.5037,-0.2801,-0.8072,-0.4935,-0.8951,D
-0.3315,-0.0648,-0.4671,-0.578,-0.9053,D
0.082,0.5097,0.4358,-0.1347,-0.5397,D
-0.0878,-0.2282,-0.6537,-0.9072,-0.5006,D
0.4853,0.4673,0.5866,0.9932,0.6441,U
0.9705,0.7664,0.6064,0.0411,0.9564,U
0.077,0.2355,0.1969,0.2917,0.5262,U
0.8725,0.9519,0.1237,0.0475,0.7543,U
-0.5714,-0.3266,-0.5295,-0.2981,-0.5116,D
-0.3537,-0.2505,-0.7906,-0.5589,-0.842,D
-0.7014,-0.3415,0.1872,0.4686,0.3356,U
0.9171,0.4346,-0.1363,-0.8361,-0.4055,D
0.1755,-0.7608,-0.9981,-0.5524,-0.1491,D
0.4752,0.172,0.7677,0.1245,0.6647,U
-0.5578,-0.6158,-0.4859,-0.7534,-0.7946,D
0.5977,0.2052,0.9978,0.0815,0.641,D
0.6275,0.6137,0.4896,0.7698,0.7653,D
0.6065,0.9998,0.6996,0.2476,0.2605,D
0.74,0.0906,0.0812,0.4229,0.4016,U
0.6513,0.3498,0.3688,0.434,0.8685,U
-0.7853,0.5673,0.4315,0.7038,0.0104,U
-0.9437,0.9226,0.6244,0.6025,0.1989,U
0.3087,0.5275,0.5922,0.6492,0.343,U
-0.5005,0.8524,0.1848,0.5078,0.5747,U
-0.4513,-0.013,-0.6638,-0.5255,-0.5417,D
-0.5154,-0.7469,-0.6712,-0.806,-0.4793,U
-0.7452,-0.4424,-0.0398,-0.8293,-0.7737,D
0.1631,0.2003,0.6782,0.2433,0.8615,U
-0.6107,-0.3014,-0.0076,-0.1226,-0.4806,D
-0.6885,-0.4951,-0.9326,-0.404,-0.1325,D
0.7221,0.2613,0.4031,0.4071,0.1668,U
-0.7491,-0.037,-0.9023,-0.5969,-0.7253,D
0.7073,0.6589,0.7662,0.6781,-0.0253,D
0.5177,0.1315,0.4544,0.4514,0.3287,D
