,stockA,stockB,corr,sector_A,sector_B,sameSector
293,中國有贊,蒙牛乳業,0.9172181526030364,電子商貿及互聯網,乳品相關,False
294,蒙牛乳業,康龍化成,0.9172011477870259,乳品相關,生物科技,False
295,藥明康德,青島啤酒,0.9171791563473688,醫療保健,酒類飲品,False
296,創科實業,中國有贊,0.917004112050355,機械設備,電子商貿及互聯網,False
297,中國神華,蒙牛乳業,0.9169987940835567,煤業相關,乳品相關,False
298,香港交易所,心動公司,0.9168977348654235,其他金融服務,科技軟件,False
299,美團點評-W,閱文集團,0.916845084768208,電子商貿及互聯網,電子商貿及互聯網,True
300,信義光能,福耀玻璃,0.9167761017672437,光伏太陽能,汽車零部件及維護,False
301,華寶國際,敏華控股,0.9167290028903652,食物飲品生產及批發,家品,False
302,蒙牛乳業,比亞迪電子,0.9167202941960924,乳品相關,手機相關,False
303,微創醫療,維亞生物,0.916558504730023,醫療保健,生物科技,False
304,中國軟件國際,敏華控股,0.9163583525050661,科技軟件,家品,False
305,安踏體育,信義光能,0.9163168952373315,體育用品,光伏太陽能,False
306,碧桂園服務,美東汽車,0.9163090288275078,物業管理及代理,汽車銷售,False
307,長城汽車,蒙牛乳業,0.9160238713417339,汽車,乳品相關,False
308,華寶國際,恒大健康,0.9159926984571767,食物飲品生產及批發,媒體娛樂及文化出版,False
309,遠大住工,移卡,0.915826098614115,機械設備,電子商貿及互聯網,False
310,小米集團-W,福耀玻璃,0.9157969668470698,電訊設備,汽車零部件及維護,False
311,美團點評-W,小米集團-W,0.915295209159382,電子商貿及互聯網,電訊設備,False
312,紫金礦業,福萊特玻璃,0.9152937870691715,貴金屬,玻璃股,False
313,美東汽車,敏華控股,0.9150950790649989,汽車銷售,家品,False
314,新華保險,中信証券,0.9147036496542209,內地保險,中資證券及融資,False
315,申洲國際,海底撈,0.9144977387093252,紡織製衣,餐飲,False
316,安踏體育,藥明生物,0.9143486512195431,體育用品,生物科技,False
317,福耀玻璃,蒙牛乳業,0.9142800494192764,汽車零部件及維護,乳品相關,False
318,美團點評-W,金山軟件,0.9141744781335652,電子商貿及互聯網,科技軟件,False
319,中升控股,敏華控股,0.9141670497668168,汽車銷售,家品,False
320,蒙牛乳業,福萊特玻璃,0.9136789119338372,乳品相關,玻璃股,False
321,農業銀行,工商銀行,0.9136160849975494,國有內銀,國有內銀,True
322,恒騰網絡,香港交易所,0.9135443247405428,光伏太陽能,其他金融服務,False
323,閱文集團,創科實業,0.9135191922123651,電子商貿及互聯網,機械設備,False
324,贛鋒鋰業,信義光能,0.9132484035445069,有色金屬及礦石,光伏太陽能,False
325,信義光能,藥明康德,0.9132177155454257,光伏太陽能,醫療保健,False
326,金山軟件,金蝶國際,0.9132037812919469,科技軟件,科技軟件,True
327,中聯重科,華潤啤酒,0.9131768247869267,機械設備,超市股,False
328,天能動力,香港交易所,0.9130115981552024,電池股,其他金融服務,False
329,美東汽車,藥明康德,0.9130080303877872,汽車銷售,醫療保健,False
330,青島啤酒,中聯重科,0.9128173699804429,酒類飲品,機械設備,False
331,中國銀河,中信証券,0.9128029237996609,中資證券及融資,中資證券及融資,True
332,中國平安,中國太保,0.912743354280075,內地保險,內地保險,True
333,友邦保險,聯想集團,0.9127344505163645,國際保險,電腦及周邊產品,False
334,光大證券,眾安在綫,0.9126720640015866,其他金融服務,內地保險,False
335,福萊特玻璃,香港電視,0.9126629319788152,玻璃股,影視娛樂,False
336,頤海國際,香港交易所,0.9124775794209582,食物飲品生產及批發,其他金融服務,False
337,藥明康德,微盟集團,0.9124642768825276,醫療保健,廣告,False
338,中國軟件國際,信義玻璃,0.912430141834067,科技軟件,玻璃股,False
339,中國有贊,恒大健康,0.9124192351591186,電子商貿及互聯網,媒體娛樂及文化出版,False
340,華寶國際,香港交易所,0.9123531060122045,食物飲品生產及批發,其他金融服務,False
341,海底撈,福萊特玻璃,0.9122930404026963,餐飲,玻璃股,False
342,海通證券,中國太平,0.9122785610439347,中資證券及融資,內地保險,False
343,吉利汽車,贛鋒鋰業,0.912218642522498,汽車,有色金屬及礦石,False
344,華虹半導體,敏華控股,0.9120413251038327,半導體,家品,False
345,華潤啤酒,金蝶國際,0.912037551200074,超市股,科技軟件,False
346,美東汽車,中國飛鶴,0.9120299963201404,汽車銷售,乳品相關,False
347,微盟集團,碧桂園服務,0.9118756654222412,廣告,物業管理及代理,False
348,福萊特玻璃,創科實業,0.9118452390036029,玻璃股,機械設備,False
349,比亞迪股份,贛鋒鋰業,0.9115623950008777,汽車,有色金屬及礦石,False
350,中國石油股份,中信銀行,0.9112872518018574,石油及天然氣,中小內銀,False
351,福萊特玻璃,康龍化成,0.9112607565020817,玻璃股,生物科技,False
352,維亞生物,頤海國際,0.9109307952311134,生物科技,食物飲品生產及批發,False
353,中國軟件國際,贛鋒鋰業,0.9108966961493614,科技軟件,有色金屬及礦石,False
354,北京控股,長和,0.9108122387496295,燃氣公用,綜合企業,False
355,紫金礦業,金蝶國際,0.9107904141436081,貴金屬,科技軟件,False
356,金山軟件,頤海國際,0.9106925311461375,科技軟件,食物飲品生產及批發,False
357,信義玻璃,創科實業,0.9106308766377273,玻璃股,機械設備,False
358,安踏體育,小米集團-W,0.9103734200480421,體育用品,電訊設備,False
359,比亞迪電子,香港交易所,0.9103656049156232,手機相關,其他金融服務,False
360,金蝶國際,創科實業,0.9103336082697474,科技軟件,機械設備,False
361,領展房產基金,恒生銀行,0.9103086969388455,房託,銀行,False
362,華寶國際,藥明康德,0.9099153033405565,食物飲品生產及批發,醫療保健,False
363,康龍化成,碧桂園服務,0.9098979630230855,生物科技,物業管理及代理,False
364,中航科工,恒大健康,0.9098479237061526,衛星航天股,媒體娛樂及文化出版,False
365,天能動力,金山軟件,0.9098273512676845,電池股,科技軟件,False
366,康龍化成,比亞迪電子,0.9098193540580104,生物科技,手機相關,False
367,聯想集團,洛陽鉬業,0.9097371944136867,電腦及周邊產品,有色金屬及礦石,False
368,民生銀行,中國海外發展,0.9094735663031513,中小內銀,內房,False
369,恒騰網絡,騰訊控股,0.9091773234801981,光伏太陽能,網遊及手遊,False
370,ESR,香港電視,0.9091280816976696,投資及資產管理,影視娛樂,False
371,比亞迪電子,敏華控股,0.9089202605758804,手機相關,家品,False
372,香港交易所,閱文集團,0.9088130579242412,其他金融服務,電子商貿及互聯網,False
373,紫金礦業,華虹半導體,0.9087774090457884,貴金屬,半導體,False
374,蒙牛乳業,中聯重科,0.9087740481054329,乳品相關,機械設備,False
375,紫金礦業,招商銀行,0.9087234182713534,貴金屬,中小內銀,False
376,永升生活服務,維亞生物,0.9085426991155645,物業管理及代理,生物科技,False
377,長城汽車,中國軟件國際,0.908497661880722,汽車,科技軟件,False
378,山東黃金,中糧肉食,0.9083626717769913,貴金屬,農漁業產品,False
379,美團點評-W,海底撈,0.908355906983658,電子商貿及互聯網,餐飲,False
380,金山軟件,中升控股,0.9082411317190808,科技軟件,汽車銷售,False
381,騰訊控股,微盟集團,0.9082146498820225,網遊及手遊,廣告,False
382,心動公司,中國有贊,0.908050116461214,科技軟件,電子商貿及互聯網,False
383,威高股份,山東黃金,0.9080042204116755,醫療保健,貴金屬,False
384,中國有贊,比亞迪電子,0.9079882798593643,電子商貿及互聯網,手機相關,False
385,中國石油股份,中國財險,0.9077116535860725,石油及天然氣,內地保險,False
386,信義光能,美團點評-W,0.9077095537098524,光伏太陽能,電子商貿及互聯網,False
387,ESR,玖龍紙業,0.9077028986763317,投資及資產管理,紙業股,False
388,比亞迪股份,玖龍紙業,0.9073887905590962,汽車,紙業股,False
389,比亞迪股份,蒙牛乳業,0.9071059178251184,汽車,乳品相關,False
390,青島啤酒,華虹半導體,0.9069838831736264,酒類飲品,半導體,False
391,比亞迪股份,中國軟件國際,0.9069618745761416,汽車,科技軟件,False
392,阿里巴巴-SW,創科實業,0.9068880314915889,電子商貿及互聯網,機械設備,False
393,金沙中國有限公司,長和,0.9068544271894144,澳門博彩,綜合企業,False
394,長和,中國石油股份,0.9066079741225938,綜合企業,石油及天然氣,False
395,農業銀行,建設銀行,0.9064936780248845,國有內銀,國有內銀,True
396,山東黃金,美蘭空港,0.9062550307127715,貴金屬,航空服務,False
397,康龍化成,香港電視,0.9062492071682311,生物科技,影視娛樂,False
398,香港交易所,華虹半導體,0.9062440607689937,其他金融服務,半導體,False
399,中信建投証券,中航科工,0.9061517133572953,其他金融服務,衛星航天股,False
400,恒騰網絡,阿里巴巴-SW,0.9061092200169891,光伏太陽能,電子商貿及互聯網,False
401,金山軟件,心動公司,0.9061008604589129,科技軟件,科技軟件,True
402,天能動力,美蘭空港,0.9059589442511227,電池股,航空服務,False
403,恒大健康,金山軟件,0.905823233851923,媒體娛樂及文化出版,科技軟件,False
404,信義光能,中國有贊,0.9055136390777238,光伏太陽能,電子商貿及互聯網,False
405,信義光能,比亞迪電子,0.9055135290975574,光伏太陽能,手機相關,False
406,康龍化成,微盟集團,0.9053193223038392,生物科技,廣告,False
407,長城汽車,吉利汽車,0.9052633098472163,汽車,汽車,True
408,申洲國際,小米集團-W,0.905107150798116,紡織製衣,電訊設備,False
409,中航科工,美蘭空港,0.90509922840301,衛星航天股,航空服務,False
410,中國有贊,華虹半導體,0.9049914060075773,電子商貿及互聯網,半導體,False
411,福萊特玻璃,玖龍紙業,0.9049244266276563,玻璃股,紙業股,False
412,光大證券,中國銀河,0.9048673626238654,其他金融服務,中資證券及融資,False
413,中國有贊,微盟集團,0.904830566670465,電子商貿及互聯網,廣告,False
414,青島啤酒,美東汽車,0.904711445411418,酒類飲品,汽車銷售,False
415,青島啤酒,康龍化成,0.9046470391310721,酒類飲品,生物科技,False
416,中升控股,微盟集團,0.9045785197944901,汽車銷售,廣告,False
417,金蝶國際,贛鋒鋰業,0.9043516543514305,科技軟件,有色金屬及礦石,False
418,華虹半導體,贛鋒鋰業,0.9043415562853284,半導體,有色金屬及礦石,False
419,華潤啤酒,安踏體育,0.9043132967609533,超市股,體育用品,False
420,碧桂園服務,美團點評-W,0.9043090554296316,物業管理及代理,電子商貿及互聯網,False
421,金蝶國際,華虹半導體,0.9041175520276831,科技軟件,半導體,False
422,中國軟件國際,華虹半導體,0.9040732762538352,科技軟件,半導體,False
423,金沙中國有限公司,國藥控股,0.9038760091220217,澳門博彩,醫藥股,False
424,微盟集團,心動公司,0.9038657220727518,廣告,科技軟件,False
425,紫金礦業,中國神華,0.9037734817975147,貴金屬,煤業相關,False
426,中國軟件國際,小米集團-W,0.9036540242327032,科技軟件,電訊設備,False
427,中國軟件國際,永達汽車,0.9036485993846491,科技軟件,汽車銷售,False
428,康希諾生物-B,平安好醫生,0.9036293046271543,醫療保健,醫療保健,True
429,新鴻基地產,領展房產基金,0.9034350902902285,地產發展,房託,False
430,中航科工,天能動力,0.903414819165143,衛星航天股,電池股,False
431,中國鐵塔,東陽光藥,0.9033751000006419,電訊設備,醫藥股,False
432,ESR,信義光能,0.9033487248599035,投資及資產管理,光伏太陽能,False
433,福萊特玻璃,金蝶國際,0.9030686774580959,玻璃股,科技軟件,False
434,華虹半導體,藥明康德,0.9029964148461561,半導體,醫療保健,False
435,李寧,永達汽車,0.9029587987600275,體育用品,汽車銷售,False
436,中國軟件國際,招商銀行,0.9029033275129836,科技軟件,中小內銀,False
437,招商銀行,永達汽車,0.9028994682791649,中小內銀,汽車銷售,False
438,藥明生物,中升控股,0.9027830037497414,生物科技,汽車銷售,False
439,玖龍紙業,信義光能,0.9026458381402125,紙業股,光伏太陽能,False
440,藥明康德,信達生物,0.9025503944386976,醫療保健,醫藥股,False
441,遠大住工,碧桂園服務,0.9025458562117831,機械設備,物業管理及代理,False
442,信達生物,美東汽車,0.9025343405192164,醫藥股,汽車銷售,False
443,北京控股,中海油,0.9024463170604476,燃氣公用,石油及天然氣,False
444,海螺水泥,建業新生活,0.9024189888701959,水泥,物業管理及代理,False
445,小米集團-W,永達汽車,0.9023284002456735,電訊設備,汽車銷售,False
446,中信建投証券,恒大健康,0.9023080033460323,其他金融服務,媒體娛樂及文化出版,False
447,李寧,康龍化成,0.9022116003556981,體育用品,生物科技,False
448,永達汽車,信義光能,0.9021390204871823,汽車銷售,光伏太陽能,False
449,李寧,美團點評-W,0.9018483954928471,體育用品,電子商貿及互聯網,False
450,比亞迪股份,金蝶國際,0.9017781424103604,汽車,科技軟件,False
451,玖龍紙業,紫金礦業,0.901702287639918,紙業股,貴金屬,False
452,安踏體育,贛鋒鋰業,0.9016068743701698,體育用品,有色金屬及礦石,False
453,青島啤酒,創科實業,0.9015789805340121,酒類飲品,機械設備,False
454,碧桂園服務,創科實業,0.9015041994315088,物業管理及代理,機械設備,False
455,小米集團-W,金蝶國際,0.9010924034242058,電訊設備,科技軟件,False
456,中國有贊,香港電視,0.9010449374993563,電子商貿及互聯網,影視娛樂,False
457,美團點評-W,紫金礦業,0.9009721630107133,電子商貿及互聯網,貴金屬,False
458,ESR,李寧,0.9007172784485258,投資及資產管理,體育用品,False
459,恒大健康,天能動力,0.9006382448472532,媒體娛樂及文化出版,電池股,False
460,中銀香港,FL二南方恒指,0.9005043904370996,銀行,指數槓桿產品,False
461,比亞迪電子,恒騰網絡,0.9004708139984319,手機相關,光伏太陽能,False
462,中信建投証券,中船防務,0.9001783941402943,其他金融服務,造船相關,False
463,美東汽車,福萊特玻璃,0.9000670668955185,汽車銷售,玻璃股,False
464,小米集團-W,玖龍紙業,0.9000669438417677,電訊設備,紙業股,False
